open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
2026-03-15 16:00:00+00:00,2092.93,2097.94,2087.65,2090.59,87846.932,2026-03-15 16:59:59.999000+00:00,183821320.38754,,,,0
2026-03-15 17:00:00+00:00,2090.6,2117.62,2090.05,2109.65,144964.084,2026-03-15 17:59:59.999000+00:00,305184693.08941,,,,0
2026-03-15 18:00:00+00:00,2109.65,2112.83,2092.65,2098.05,130721.276,2026-03-15 18:59:59.999000+00:00,275058218.82047,,,,0
2026-03-15 19:00:00+00:00,2098.06,2113.35,2095.16,2112.33,112055.991,2026-03-15 19:59:59.999000+00:00,236049873.22735,,,,0
2026-03-15 20:00:00+00:00,2112.32,2139.0,2108.91,2128.0,230006.544,2026-03-15 20:59:59.999000+00:00,488814175.69871,,,,0
2026-03-15 21:00:00+00:00,2128.01,2144.0,2122.4,2138.41,140204.061,2026-03-15 21:59:59.999000+00:00,299168838.26104,,,,0
2026-03-15 22:00:00+00:00,2138.42,2192.15,2124.1,2183.73,656377.575,2026-03-15 22:59:59.999000+00:00,1418740094.93545,,,,0
2026-03-15 23:00:00+00:00,2183.74,2202.87,2165.24,2177.73,624195.138,2026-03-15 23:59:59.999000+00:00,1364071656.42751,,,,0
2026-03-16 00:00:00+00:00,2177.73,2186.9,2163.32,2170.39,190948.976,2026-03-16 00:59:59.999000+00:00,415351433.1602,,,,0
2026-03-16 01:00:00+00:00,2170.4,2189.98,2163.56,2184.99,181944.904,2026-03-16 01:59:59.999000+00:00,396169110.07419,,,,0
2026-03-16 02:00:00+00:00,2184.99,2188.45,2169.0,2179.63,147967.942,2026-03-16 02:59:59.999000+00:00,322209712.36701,,,,0
2026-03-16 03:00:00+00:00,2179.63,2253.6,2176.37,2235.13,991553.409,2026-03-16 03:59:59.999000+00:00,2205840957.28869,,,,0
2026-03-16 04:00:00+00:00,2235.14,2279.97,2235.13,2262.25,683730.533,2026-03-16 04:59:59.999000+00:00,1542914366.75872,,,,0
2026-03-16 05:00:00+00:00,2262.25,2288.0,2255.61,2279.41,496273.464,2026-03-16 05:59:59.999000+00:00,1126673422.38243,,,,0
2026-03-16 06:00:00+00:00,2279.42,2280.78,2260.0,2261.01,245093.014,2026-03-16 06:59:59.999000+00:00,555347776.51846,,,,0
2026-03-16 07:00:00+00:00,2261.01,2268.43,2244.68,2248.43,269076.966,2026-03-16 07:59:59.999000+00:00,607187882.88986,,,,0
2026-03-16 08:00:00+00:00,2248.44,2258.37,2233.0,2242.6,270287.574,2026-03-16 08:59:59.999000+00:00,607197091.56136,,,,0
